,topic_id,prompt,comment
32,APPSTD09096,APPSTD09096 กลุ่มข้อผิดพลาดด้านเทคนิค,สำหรับการนำส่ง 2 Way :  หมายเลข  AuthenKey  ต้องใช้ในการนำส่งข้อมูลไม่เกิน 1 ครั้ง  1 หมายเลข  AuthenKey ใช้สำหรับการนำส่งต่อ 1 ครั้งเท่านั้น
33,APPSTD09097,APPSTD09097 กลุ่มข้อผิดพลาดด้านเทคนิค,สำหรับการนำส่ง 2 Way :  หมายเลข  AuthenKey  หมดเวลาที่ใช้ในการนำส่ง ค่าเบื้องต้นกำหนดไว้ที่ไม่เกิน 15 นาที
34,SVSTD99990 ,SVSTD99990 กลุ่มข้อผิดพลาดกลาง,ต้องระบุค่า (NotNull / Not Blank)
35,SVSTD99991 ,SVSTD99991 กลุ่มข้อผิดพลาดกลาง,ปรับลดขนาด ขนาด (Size) ของข้อมูลให้เป็นตามที่โครงสร้างกำหนด
36,SVSTD99992 ,SVSTD99992 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบรูปแบบวันที่ ต้องเป็น  ปีค.ศ. 4 หลัก ตามด้วยเดือน 2 หลัก วันที่ 2 หลัก (DataType = Date YYYYMMDD)
37,SVSTD99993 ,SVSTD99993 กลุ่มข้อผิดพลาดกลาง,"ตรวจสอบข้อมูลต้องไม่มีทศนิยม  (DataType = Number(n,0)"
38,SVSTD99994 ,SVSTD99994 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบข้อมูลต้องไม่มีตัวอักษร หรือ อักขระอื่นใด นอกจาตัวเลขเท่านั้น (DataType = Number)
39,SVSTD99995 ,SVSTD99995 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบกับข้อมูลตามตารางอ้างอิงที่สำนักงาน  คปภ. กำหนด
40,SVSTD99996 ,SVSTD99996 กลุ่มข้อผิดพลาดกลาง,รูปแบบปี ต้องเป็นปี ค.ศ. 4 หลักเท่านั้น
41,SVSTD99997 ,SVSTD99997 กลุ่มข้อผิดพลาดกลาง,ช่วงเดือน ต้องมีค่า 1 - 12
42,SVSTD99998 ,SVSTD99998 กลุ่มข้อผิดพลาดกลาง,ข้อมูลเวลา ชม ต้องอยู่ในช่วง 0-23 และนาทีต้องอยู่ในช่วง 0- 59 
43,SVSTD99999 ,SVSTD99999 กลุ่มข้อผิดพลาดกลาง,ข้อมูลเปอร์เซ็นต์ต้องไม่เกิน 100 %
44,SVSTD01000 ,SVSTD01000 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบกับคีย์หลักของแฟ้มข้อมูล  ต้องมีรายการเดียวเท่านั้น ต้องไม่ส่งมากกว่า 1 รายการ
45,SVSTD03000 ,SVSTD03000 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบกับข้อมูลตามตารางอ้างอิงที่สำนักงาน  คปภ. กำหนด
46,BRVSTD00100,BRVSTD00100 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบเลขที่ใบอนุญาตตัวแทน/นายหน้าประกันวินาศภัย ที่นำส่งถูกต้อง ครบถ้วน เหมือนกับที่รายงานไปยังระบบฐานข้อมูลตัวแทน/นายหน้า ของสำนักงาน คปภ. (AgentBrokerLicense = ข้อมูลในฐานข้อมูลตัวแทน/นายหน้า)
47,BRVSTD00300,BRVSTD00300 กลุ่มข้อผิดพลาดกลาง,การนำส่งรายการรับ / คืน เบี้ย ต้องนำส่งข้อมูลกรมธรรม์ก่อนเสมอ ซึ่งพิจารณารายการคีย์หลักของข้อมูลตามโครงสร้าง อาจเป็นไปได้ว่า คีย์หลักของข้อมูลอาจไม่ตรงกัน หรือ มีการนำส่งข้อมูลไม่ครบถ้วน
48,BRVSTD00400,BRVSTD00400 กลุ่มข้อผิดพลาดกลาง,การนำส่งรายการรับ / คืน เบี้ย ต้องนำส่งข้อมูลหลักหลังก่อนเสมอ ซึ่งพิจารณารายการคีย์หลักของข้อมูลตามโครงสร้าง อาจเป็นไปได้ว่า คีย์หลักของข้อมูลอาจไม่ตรงกัน หรือ มีการนำส่งข้อมูลไม่ครบถ้วน
49,BRVSTD00600,BRVSTD00600 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบจำนวนเบี้ยที่นำส่งไปยังแฟ้มกรมธรรม์ กับรายการรับเบี้ย (NetPremiumAmt) 
50,BRVSTD00700,BRVSTD00700 กลุ่มข้อผิดพลาดกลาง,ระบุวันที่เริ่มต้นคุ้มครอง ไม่เกิน วันที่สิ้นสุดความคุ้มครอง EffectiveDate <= ExpiryDate
51,BRVSTD00800,BRVSTD00800 กลุ่มข้อผิดพลาดกลาง,ระบุวันที่เริ่มต้นคุ้มครอง ไม่เกิน วันที่มีผลบังคับของสลักหลัง EffectiveDate <= EndorsementEffectiveDate
52,BRVSTD00900,BRVSTD00900 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบวันที่ทำสัญญา ไม่เกินวันที่ทำกรมธรรม์ AggreeDate <= IssuedDate
53,BRVSTD01000,BRVSTD01000 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบวันที่ทำสัญญา ไม่เกินวันที่เริ่มต้นความคุ้มครอง AggreeDate <= ExpiryDate
54,BRVSTD01100,BRVSTD01100 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบวันที่ทำสัญญา ไม่เกินวันที่สิ้นสุดความคุ้มครอง AggreeDate <= EndorsementEffectiveDate
55,BRVSTD01200,BRVSTD01200 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบวันที่ทำสัญญา ไม่เกินวันที่มีผลบังคับของสลักหลัง AggreeDate  <= EndorsementEffectiveDate
56,BRVSTD01300,BRVSTD01300 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบวันที่ทำสัญญา ไม่เกินวันที่รับแจ้งเหตุ AggreeDate  <= NotifyDate
57,BRVSTD01400,BRVSTD01400 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบวันที่ทำสัญญา ไม่เกินวันที่เกิดเหตุ AggreeDate  <= LossDate
58,BRVSTD01500,BRVSTD01500 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบวันที่ทำสัญญา ไม่เกินวันที่บันทึกข้อมูลทางบัญชี AggreeDate <= AccountingDate
59,BRVSTD01600,BRVSTD01600 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบวันที่ทำสัญญา ไม่เกินวันที่ทำรายการสินไหม  AggreeDate <= AccountingDate
60,BRVSTD01700,BRVSTD01700 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบวันที่บันทึกข้อมูลทางบัญชี ไม่ควรเกิน วันเกิดเหตุ  AccountingDate <=  LossDate
61,BRVSTD02000,BRVSTD02000 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบวันที่ผลบังคับของสลักหลัง ไม่เกิน วันที่สิ้นสุดความคุ้มครอง  EndorsementEffectiveDate<= ExpiryDate
62,BRVSTD02100,BRVSTD02100 กลุ่มข้อผิดพลาดกลาง,รายการจ่ายสินไหมต้องมีข้อมูลในตารางกรมธรรม์ในฐาน  IBS ก่อนเสมอ ซึ่งพิจารณารายการคีย์หลักของข้อมูลตามโครงสร้าง อาจเป็นไปได้ว่า คีย์หลักของข้อมูลอาจไม่ตรงกัน หรือ มีการนำส่งข้อมูลไม่ครบถ้วน
63,BRVSTD02200,BRVSTD02200 กลุ่มข้อผิดพลาดกลาง,รายการจ่ายสินไหมต้องมีข้อมูลในตารางสินไหมทดแทนในฐาน  IBS ก่อนเสมอ ซึ่งพิจารณารายการคีย์หลักของข้อมูลตามโครงสร้าง อาจเป็นไปได้ว่า คีย์หลักของข้อมูลอาจไม่ตรงกัน หรือ มีการนำส่งข้อมูลไม่ครบถ้วน
64,BRVSTD02300,BRVSTD02300 กลุ่มข้อผิดพลาดกลาง,รายการสินไหมทดแทนต้องมีข้อมูลในตารางกรมธรรม์ในฐาน  IBS ก่อนเสมอ ซึ่งพิจารณารายการคีย์หลักของข้อมูลตามโครงสร้าง อาจเป็นไปได้ว่า คีย์หลักของข้อมูลอาจไม่ตรงกัน หรือ มีการนำส่งข้อมูลไม่ครบถ้วน
65,BRVSTD02800,BRVSTD02800 กลุ่มข้อผิดพลาดกลาง,ระบุวันที่เกิดเหตุ  ไม่เกินวันที่ รับแจ้งเหตุ LossDate <= NotifyDate
66,BRVSTD02900,BRVSTD02900 กลุ่มข้อผิดพลาดกลาง,วันที่เริ่มต้นความคุ้มครอง ไม่เกินวันที่เกิดเหตุ EffectiveDate < LossDate
67,BRVSTD03100,BRVSTD03100 กลุ่มข้อผิดพลาดกลาง,รายการรับคืนสินไหมทดแทนต้องมีข้อมูลในตารางกรมธรรม์ในฐาน  IBS ก่อนเสมอ ซึ่งพิจารณารายการคีย์หลักของข้อมูลตามโครงสร้าง อาจเป็นไปได้ว่า คีย์หลักของข้อมูลอาจไม่ตรงกัน หรือ มีการนำส่งข้อมูลไม่ครบถ้วน
68,BRVSTD03200,BRVSTD03200 กลุ่มข้อผิดพลาดกลาง,รายการรับคืนสินไหมทดแทนต้องมีข้อมูลในตารางสินไหมทดแทนในฐาน  IBS ก่อนเสมอ ซึ่งพิจารณารายการคีย์หลักของข้อมูลตามโครงสร้าง อาจเป็นไปได้ว่า คีย์หลักของข้อมูลอาจไม่ตรงกัน หรือ มีการนำส่งข้อมูลไม่ครบถ้วน
69,BRVSTD03300,BRVSTD03300 กลุ่มข้อผิดพลาดกลาง,กรณีระบุตัวเลขทั้งหมด 13 หลักระบบดำเนินการตรวจสอบรูปแบบ ของหมายเลขที่บัตรประจำตัวประชาชน ดังนั้น ให้ตรวจสอบหมายเลขบัตรประชาชนที่นำส่ง
70,BRVSTD03400,BRVSTD03400 กลุ่มข้อผิดพลาดกลาง,ตรวจสอบเลขที่ใบอนุญาต (AgentBrokerLicense  และวันที่หมดอายุใบอนุญาตในฐานข้อมูลของสำนักงานคปภ. )   กับวันที่เริ่มต้น (EffeciveDate) และสิ้นสุดความคุ้มครอง ( ExpiryDate) ของรายการกรมธรรม์   
71,BRVSTD03600,BRVSTD03600 กลุ่มข้อผิดพลาดกลาง,"รายการกรมธรรม์เลขที่สลักหลังต้องไม่ระบุค่า และ ลำดับที่สลักหลังต้องใส่เป็น 0 เสมอ , (DataType ='1')  และ (EndorsementNumber  ต้องเป็นค่าว่าง) และ EndorsementSeq  = 0)"
72,BRVFIR00100,BRVFIR00100 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน," PolicyNumber ,LocationSeq  ต้องไม่ซ้ำ"
73,BRVFIR00200,BRVFIR00200 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้า CountryCode = THA(ไทย) ห้ามว่าง  แต่ถ้าแป็นต่างประเทศให้ใช้รหัส Block ""000000"""
74,BRVFIR00300,BRVFIR00300 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,SumInsuredAmt ต้องมากกว่า 0
75,BRVFIR00400,BRVFIR00400 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,ถ้า BusinessClass = 02 เบี้ย FireAdditionalPremium  = 0.0
76,BRVFIR00700,BRVFIR00700 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ข้อมูลสลักหลัง ต้องเคยมี้อมูล PolicyNumber ,LocationSeq ต้องเคยมรอยู่แล้วในระบบ IBS หรือหากส่งข้อมูลข้อมูลเข้ามาในรอบเดียวกัน ข้อมูลกรมธรรม์ต้องไม่ Error "
77,BRVFIR00800,BRVFIR00800 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้าเป็นกรมธรรม์ IAR (BusinessClass=02,08) และ DataType=1 เบี้ย IARPremiumSection1 >0.0"
78,BRVFIR00900,BRVFIR00900 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้าสลักหลัง IAR (BusinessClass=02,08) และ DataType=2 เบี้ย IARPremiumSection1 >=0.0"
79,BRVFIR01000,BRVFIR01000 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้าสลักหลัง IAR (BusinessClass=02,08) และ DataType=3 เบี้ย IARPremiumSection1 >=0.0"
80,BRVFIR01100,BRVFIR01100 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้าสลักหลัง IAR (BusinessClass=02,08) และ DataType=4,5 เบี้ย IARPremiumSection1 =0.0"
81,BRVFIR01200,BRVFIR01200 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้าสลักหลัง IAR (BusinessClass=02,08) และ DataType=6 เบี้ย IARPremiumSection1 <0.0"
82,BRVFIR01300,BRVFIR01300 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้าสลักหลัง IAR (BusinessClass=02,08) และ DataType=4,5 เบี้ย IARPremiumSection1 =0.0"
83,BRVFIR01400,BRVFIR01400 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"DataType = 7 ตรวจสอบ Key ดังต่อไปนี้ CompanyCode, PolicyNo, LocationSeq ต้องไม่ซ้ำกับในฐาน IBS เนื่องจากเป็นการเพิ่มสถานที่ตั้งทรัพย์สิน"
84,BRVFIR01500,BRVFIR01500 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,ถ้า DataType <>  1   ข้อมูล Endorsement
85,BRVFIR01600,BRVFIR01600 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,ถ้า DataType <>  1   ข้อมูล Endorsement
86,BRVFIR01700,BRVFIR01700 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"การส่งรายการสินไหมต้องมีข้อมูลในตารางกรมธรรม์(1.1) ก่อน ( PolicyNumber ,LocationSeq)"
87,BRVFIR01800,BRVFIR01800 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,ถ้า RiskFlag = N and LocationSeq >0 ข้อมูล RiskCode ห้ามว่าง
88,BRVFIR01900,BRVFIR01900 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้า ClaimGroup =""CP"" , =""CS"" ข้อมูล ClaimAmt <0"
89,BRVFIR02000,BRVFIR02000 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้า ClaimGroup =""P"" , =""S"" ข้อมูล ClaimAmt >1"
90,BRVFIR02100,BRVFIR02100 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,ถ้า ClaimType=1 ข้อมูล CoverageType ห้ามว่าง
91,BRVFIR02200,BRVFIR02200 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,ถ้า ClaimType=2 ข้อมูล ต้องมีข้อมูล ClaimNumber ที่เป็น ClaimType=1 อยู่แล้วเท่านั้น ClaimNumber ในตารางสินไหม (3)
92,BRVFIR02300,BRVFIR02300 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,ถ้า ClaimType=3 ข้อมูล ต้องมีข้อมูล ClaimNumber ที่เป็น ClaimType=2 อยู่แล้วเท่านั้น ClaimNumber ในตารางสินไหม (3)
93,BRVFIR02400,BRVFIR02400 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้า ClaimGroup =""CP"" , =""CS"" ต้องมีข้อมูล  ClaimNumber,ClaimSeq ที่มีสถานะ  ClaimGroup =""P"" ,""CS"" อยู่แล้วในตารางสินไหม (3)"
94,BRVFIR02500,BRVFIR02500 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,การจ่ายสินไหมทดแทนในตารางตารางการจ่ายค่าสินไหมทดแทน (4) ต้องทีข้อมูล  ClaimNumber ใน. ตารางรายการสินไหมทดแทน (3) อยู่แล้ว
95,BRVFIR02800,BRVFIR02800 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้าเป็นกรมธรรม์ FIRE (BusinessClass<>02,08) และ DataType=1 เบี้ย FirePremiumSection1 >0.0"
96,BRVFIR02900,BRVFIR02900 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้าสลักหลัง FIRE (BusinessClass<>02,08) และ DataType=2 เบี้ย FirePremiumSection1 >=0.0"
97,BRVFIR03000,BRVFIR03000 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้าสลักหลัง FIRE (BusinessClass<>02,08) และ DataType=3 เบี้ย FirePremiumSection1 <=0.0"
98,BRVFIR03100,BRVFIR03100 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้าสลักหลัง FIRE (BusinessClass<>02,08) และ DataType=4,5 เบี้ย FirePremiumSection1 =0.0"
99,BRVFIR03200,BRVFIR03200 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้าสลักหลัง FIRE (BusinessClass<>02,08) และ DataType=6 เบี้ย FirePremiumSection1 <0.0"
100,BRVFIR03300,BRVFIR03300 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,"ถ้าสลักหลัง FIRE (BusinessClass<>02,08) และ DataType=7เบี้ย FirePremiumSection1 >0.0"
101,BRVFIR06000,BRVFIR06000 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,การยกเลิกข้อมูล ตารางผู้เอาประกันภัย และผู้รับประโยชน์(1.2) ต้องมีข้อมูลเดิมอยู๋แล้วเท่านั้น 
102,BRVFIR07000,BRVFIR07000 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,การบันทึกรายการกรมธรรม  ต้องมีข้อมูลผู้เอาประกันภัยอย่างน้อย 1 คน
103,BRVFIR07100,BRVFIR07100 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,การบันทึกรายการผู้เอาประกันภัย ต้องมีข้อมูลในรายการกรมธรรม์ส่งมาด้วยเท่านั้น
104,BRVFIR07500,BRVFIR07500 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,การบันทึกรายการกรมธรรม  ข้อมูลผู้เอาประกันภัยต้องถูกต้องสามารถบันทึกได้ทุกคนในกรมธรรม์นั้นๆ
105,BRVFIR07600,BRVFIR07600 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,การบันทึกรายการผู้เอาประกันภัย ต้องมีข้อมูลในรายการกรมธรรม์ทึ่ผ่านการบันทึกด้วยเท่านั้น
106,BRVFIR09510,BRVFIR09510 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,การบันทึกข้อมูลรายการสลักหลัง  ต้องมีรายการกรมธรรม์ที่ผ่านก่อนแล้วเท่านั้น
107,BRVFIR09520,BRVFIR09520 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,การบันทึกรายการรับ / คืน เบี้ย ต้องมีรายงานกรมธรรม์ที่ผ่านก่อนแล้วเท่านั้น
108,BRVFIR09530,BRVFIR09530 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,การบันทึกรายการสินไหมทดแทน ต้องมีรายงานกรมธรรม์ที่ผ่านก่อนแล้วเท่านั้น
109,BRVFIR09540,BRVFIR09540 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,การบันทึกรายการสินไหมทดแทนรับคืน ต้องมีรายสินไหมทดแทนที่ผ่านก่อนแล้วเท่านั้น
110,BRVFIR09550,BRVFIR09550 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทรัพย์สิน,การบันทึกรายการจ่ายสินไหม ต้องมีรายสินไหมทดแทนที่ผ่านก่อนแล้วเท่านั้น
111,BRVMAR00100,BRVMAR00100 กลุ่มข้อผิดพลาดการนำส่งข้อมูลประกันภัยทางทะเลและการขนส่ง,"PolicyNumber,EndorsementSeq ,ShipSeq ต้องไม่ซ้ำกัน"
